X;Y
173.8832116788321; 3.511711711711767
152.93430656934308; 10.163963963964019
152.42335766423358; 32.167567567567616
131.985401459854; 43.425225225225276
120.23357664233576; 51.61261261261266
124.32116788321167; 56.72972972972978
115.63503649635035; 60.82342342342347
98.77372262773723; 58.26486486486491
95.1970802919708; 58.26486486486491
92.13138686131387; 54.17117117117122
94.17518248175182; 47.51891891891897
93.15328467153284; 48.54234234234239
88.04379562043796; 47.00720720720725
78.33576642335765; 44.4486486486487
78.33576642335765; 58.77657657657662
84.97810218978103; 73.10450450450456
85.48905109489051; 82.82702702702707
78.33576642335765; 79.24504504504509
70.16058394160584; 80.78018018018022
61.47445255474452; 83.33873873873878
54.32116788321167; 73.10450450450456
41.54744525547445; 72.59279279279284
41.03649635036496; 78.22162162162167
33.372262773722625; 77.19819819819824
22.13138686131387; 78.22162162162167
12.934306569343065; 82.82702702702707
13.956204379562044; 89.99099099099104
20.087591240875913; 93.06126126126131
24.686131386861316; 95.10810810810815
14.978102189781023; 98.17837837837843
19.576642335766422; 100.73693693693697
21.10948905109489; 106.3657657657658
24.686131386861316; 108.92432432432436
28.262773722627735; 107.38918918918924
35.92700729927007; 109.94774774774778
43.08029197080292; 114.04144144144149
48.7007299270073; 116.08828828828833
56.87591240875912; 120.18198198198202
61.47445255474452; 119.1585585585586
60.96350364963504; 126.83423423423427
67.60583941605839; 127.85765765765771
68.62773722627736; 133.99819819819825
67.0948905109489; 137.0684684684685
71.18248175182481; 144.74414414414417
77.31386861313868; 152.9315315315316
83.44525547445255; 159.0720720720721
83.95620437956204; 166.23603603603607
88.04379562043796; 175.44684684684688
90.08759124087591; 179.54054054054058
92.13138686131387; 189.26306306306307
90.08759124087591; 202.5675675675676
88.04379562043796; 213.82522522522524
86; 226.61801801801803
83.44525547445255; 238.3873873873874
80.37956204379562; 249.13333333333335
73.73722627737226; 256.80900900900906
81.40145985401459; 261.9261261261261
88.04379562043796; 266.0198198198198
94.17518248175182; 271.136936936937
108.48175182481751; 274.7189189189189
120.74452554744525; 280.34774774774775
130.96350364963502; 279.83603603603603
135.05109489051094; 274.7189189189189
148.84671532846716; 279.83603603603603
164.68613138686132; 287.5117117117117
175.92700729927006; 291.0936936936937
188.1897810218978; 288.0234234234234
196.87591240875912; 289.04684684684685
196.87591240875912; 282.90630630630636
191.76642335766422; 276.76576576576576
192.27737226277372; 270.6252252252253
198.4087591240876; 264.4846846846847
204.02919708029196; 257.8324324324325
211.1824817518248; 254.25045045045047
214.75912408759123; 252.2036036036036
222.93430656934305; 253.73873873873876
233.15328467153284; 257.3207207207208
244.39416058394158; 259.3675675675676
255.63503649635038; 263.46126126126126
264.3211678832117; 265.5081081081081
270.963503649635; 262.43783783783783
278.11678832116786; 256.80900900900906
280.67153284671537; 251.1801801801802
287.82481751824815; 247.0864864864865
292.4233576642336; 242.4810810810811
294.46715328467155; 240.43423423423425
325.1240875912409; 274.2072072072072
323.5912408759124; 278.3009009009009
323.5912408759124; 285.46486486486486
326.6569343065693; 291.0936936936937
329.7226277372263; 299.7927927927928
334.8321167883212; 304.3981981981982
339.941605839416; 310.53873873873874
345.5620437956204; 310.02702702702703
347.60583941605836; 301.83963963963964
349.13868613138686; 290.07027027027027
351.1824817518248; 281.88288288288294
348.62773722627736; 272.67207207207207
346.0729927007299; 269.09009009009014
346.5839416058394; 263.97297297297297
347.0948905109489; 257.8324324324325
344.02919708029196; 256.29729729729735
339.4306569343065; 256.80900900900906
339.4306569343065; 261.9261261261261
338.91970802919707; 266.0198198198198
332.2773722627737; 269.60180180180186
298.55474452554745; 234.29369369369374
300.5985401459854; 230.20000000000002
300.5985401459854; 223.54774774774776
294.978102189781; 222.52432432432437
286.80291970802915; 222.52432432432437
281.6934306569343; 218.94234234234236
280.16058394160586; 213.31351351351353
282.2043795620438; 208.1963963963964
282.2043795620438; 204.10270270270274
282.2043795620438; 202.05585585585587
278.11678832116786; 201.03243243243244
274.02919708029196; 196.42702702702707
275.0510948905109; 193.3567567567568
280.67153284671537; 191.30990990990995
284.24817518248176; 185.68108108108112
284.24817518248176; 182.61081081081082
279.1386861313868; 179.02882882882886
276.0729927007299; 171.8648648648649
282.2043795620438; 163.1657657657658
276.5839416058394; 158.04864864864868
275.0510948905109; 150.372972972973
263.29927007299267; 149.34954954954958
260.7445255474452; 147.81441441441444
263.81021897810217; 143.20900900900904
276.0729927007299; 116.60000000000005
283.73722627737226; 117.11171171171175
287.31386861313865; 111.99459459459463
287.31386861313865; 105.85405405405409
286.80291970802915; 94.59639639639643
289.3576642335766; 86.92072072072077
290.3795620437956; 78.22162162162167
296.5109489051095; 67.47567567567573
300.0875912408759; 62.87027027027032
288.33576642335765; 60.82342342342347
275.0510948905109; 59.80000000000005
266.3649635036496; 59.288288288288335
260.2335766423358; 51.61261261261266
254.61313868613138; 49.56576576576581
248.4817518248175; 50.58918918918924
242.86131386861314; 48.030630630630675
237.75182481751824; 48.030630630630675
233.15328467153284; 44.96036036036041
229.06569343065692; 40.86666666666672
223.95620437956202; 38.81981981981987
224.46715328467153; 31.65585585585591
220.8905109489051; 30.120720720720772
218.84671532846713; 33.70270270270275
215.27007299270073; 36.77297297297302
210.6715328467153; 34.21441441441446
209.13868613138686; 25.515315315315366
200.96350364963502; 23.468468468468522
190.23357664233578; 18.863063063063116
187.6788321167883; 11.699099099099152
182.05839416058393; 12.210810810810866
177.97080291970804; 7.60540540540546
174.90510948905109; 3.511711711711767
